"BibliographyType","ISBN","Identifier","Author","Title","Journal","Volume","Number","Month","Pages","Year","Address","Note","URL","Booktitle","Chapter","Edition","Series","Editor","Publisher","ReportType","Howpublished","Institution","Organizations","School","Annote","Custom1","Custom2","Custom3","Custom4","Custom5"
"7","","Adams2017","Adams, Mackenzie","Big Data and Individual Privacy in the Age of the Internet of Things","Technology Innovation Management Review","7","4","apr","12--24","2017","Ottawa","","https://search.proquest.com/scholarly-journals/big-data-individual-privacy-age-internet-things/docview/1963138244/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{_}VU2?url{_}ver=Z39.88-2004{&}rft{_}val{_}fmt=info:ofi/fmt:kev:mtx:journal{&}genre=article{&}sid=ProQ:ProQ{%}3Aabiglobal{&}atitle=Big+Data+and+Individual+Privacy+in+the+Age+of+the+Internet+of+Things{&}title=Technology+Innovation+Management+Review{&}issn={&}date=2017-04-01{&}volume=7{&}issue=4{&}spage=12{&}au=Adams{%}2C+Mackenzie{&}isbn={&}jtitle=Technology+Innovation+Management+Review{&}btitle={&}rft{_}id=info:eric/{&}rft{_}id=info:doi/","","","","","","Talent First Network","","","","","","Copyright - Copyright Talent First Network Apr 2017 Last updated - 2020-11-17 SubjectsTermNotLitGenreText - Canada","The availability of ""big data"" and ""smart"" products are credited with advancing solutions to complex problems in medicine, transportation, and education, among others. However, with big data comes big responsibility. The collection, storage, sharing, and analysis of data are far outpacing individual privacy protections, whether technological or legislative. The Internet of Things (IoT), with its promise to create networks of networks, will magnify individual data privacy threats. Recent data breaches, exposing the personal information of millions of users, provide insight into the vulnerability of personal data. Although seemingly expansive, there are core individual privacy issues that are central to current big data breaches and anticipated IoT threats. This article examines both big data and the IoT using examples of data privacy breaches to illustrate the impact of individual data loss. Furthermore, the article examines the complexity of tackling technological and legislative challenges in protecting individual privacy. It concludes by summarizing these issues in terms of the future implications of the IoT and the loss of privacy.","","Big Data,Business And Economics,Canada,Complexity,Data integrity,Data loss,Data management,Entrepreneurship,Internet of Things,Privacy,Studies","",""
"7","","Taylor2015","Taylor, Jennifer Fries; Ferguson, Jodie; Ellen, Pamela Scholder","From trait to state: understanding privacy concerns","The Journal of Consumer Marketing","32","2","","99--112","2015","Santa Barbara","","https://search.proquest.com/scholarly-journals/trait-state-understanding-privacy-concerns/docview/1661952724/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{_}VU2?url{_}ver=Z39.88-2004{&}rft{_}val{_}fmt=info:ofi/fmt:kev:mtx:journal{&}genre=article{&}sid=ProQ:ProQ{%}3Aabiglobal{&}atitle=From+trait+to+state{%}3A+understanding+privacy+concerns{&}title=The+Journal+of+Consumer+Marketing{&}issn=07363761{&}date=2015-02-20{&}volume=32{&}issue=2{&}spage=99{&}au=Taylor{%}2C+Jennifer+Fries{%}3BFerguson{%}2C+Jodie{%}3BEllen{%}2C+Pamela+Scholder{&}isbn={&}jtitle=The+Journal+of+Consumer+Marketing{&}btitle={&}rft{_}id=info:eric/{&}rft{_}id=info:doi/10.1108{%}2FJCM-07-2014-1078","","","","","","Emerald Group Publishing Limited","","","","","","Copyright - {textcopyright} Emerald Group Publishing Limited 2015 Last updated - 2020-11-17","Purpose              - The purpose of this paper is to advance our understanding of how information privacy concerns are derived from the combination effects of individual traits, compound traits, situational traits and surface traits that ultimately influence the consumer's attitude toward data collection programs. The study investigates a hierarchical model of individual traits, information privacy orientation and consumer privacy concerns.              Design/methodology/approach              - The empirical research utilizes structural equation modeling to analyze the responses from 964 respondents.              Findings              - The results suggest that consumer attitudes toward data collection programs associated with personal shopping information (e.g. retail loyalty card programs) are determined through a hierarchical model of personal traits and contextual-dependent variables. Specifically, the authors find that the compound traits of risk orientation and need for cognition influence the situational trait of information privacy orientation which leads to the surface trait of consumer privacy concern and ultimately attitude toward the information collection program.              Practical implications              - The results suggest several means to increase participation in data collection programs. Although high need for cognition and high risk orientation cannot be changed, communication plans can provide guarantees that mitigate perceived risk associated with sharing personal information and highlight the information value to the individual's sharing of information.              Originality/value              - While previous research focuses on either the internal traits or external traits, this research contributes to the current literature by offering insights into how privacy evolves from more abstract personality traits to more situational-specific behavioral tendencies, which then influence attitudes and behavior.","","54172:Research and Development in the Social Sciences and Humanities,7000:Marketing,9130:Experimental/theoretical,Attitudes,Behavior,Business And Economics--Marketing And Purchasing,Consumers,Participation,Personal information,Personality traits,Population,Privacy,Research,Studies","",""
"7","","Martin2018","Martin, Konrad","Embracing Compliance for the Sake of Cybersecurity: Looking Beyond Legal Requirements to Find Best Practices: Certified Public Accountant","The CPA Journal","88","6","jun","60--62","2018","New York","","https://search.proquest.com/scholarly-journals/embracing-compliance-sake-cybersecurity-looking/docview/2185467720/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{_}VU2?url{_}ver=Z39.88-2004{&}rft{_}val{_}fmt=info:ofi/fmt:kev:mtx:journal{&}genre=article{&}sid=ProQ:ProQ{%}3Aabiglobal{&}atitle=Embracing+Compliance+for+the+Sake+of+Cybersecurity{%}3A+Looking+Beyond+Legal+Requirements+to+Find+Best+Practices{%}3A+Certified+Public+Accountant{&}title=The+CPA+Journal{&}issn=07328435{&}date=2018-06-01{&}volume=88{&}issue=6{&}spage=60{&}au=Martin{%}2C+Konrad{&}isbn={&}jtitle=The+CPA+Journal{&}btitle={&}rft{_}id=info:eric/{&}rft{_}id=info:doi/","","","","","","New York State Society of Certified Public Accountants","","","","","","Name - Federal Bureau of Investigation--FBI; Department of Health {&} Human Services Copyright - Copyright New York State Society of Certified Public Accountants Jun 2018 Last updated - 2020-11-17 SubjectsTermNotLitGenreText - United States--US; Massachusetts","According to the Department of Health and Human Services: Prior to HIPAA, no generally accepted set of security standards or general requirements for protecting health information existed in the health care industry.  [...]most hackers no longer bother using brute force attacks to break through a firewall; instead, they trick users into giving them access, either by having the user click on something that opens the network or using personal information about an employee gleaned from social media to create imposter accounts.  Here is an example of this tactic, often referred to as ""spear phishing"": at a financial company, a hacker broke into the mail account of an administrator.  [...]when someone emailed the administrator to say they were going to stop by later to drop off a deposit, the hacker, responding as the administrator, said that she was going to be on vacation and asked the person to wire the deposit to a specific bank account instead.","","Business And Economics--Accounting,Compliance,Computer security,Data encryption,Data integrity,Disasters,Electronic mail systems,Employees,Federal court decisions,Hackers,Health Insurance Portability {&} Accountability Act 1996-US,Health care industry,Internet crime,Massachusetts,Network security,Personal information,Security management,Social networks,State laws,Technology adoption,United States--US","",""
"7","","KETHARESWARAN2017","KETHARESWARAN, V.","An Indian Perspective on the adverse impact of Internet of Things (IoT)","ADCAIJ : Advances in Distributed Computing and Artificial Intelligence Journal","6","4","","35--40","2017","Salamanca","","https://search.proquest.com/scholarly-journals/indian-perspective-on-adverse-impact-internet/docview/2049576755/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{_}VU2?url{_}ver=Z39.88-2004{&}rft{_}val{_}fmt=info:ofi/fmt:kev:mtx:jo","","","","","","Ediciones Universidad de Salamanca","","","","","","Copyright - Copyright {textcopyright} 2017. This work is licensed under http://creativecommons.org/licenses/by-nc-nd/3.0/es/ (the “License”). Notwithstanding the ProQuest Terms and conditions, you may use this content in accordance with the terms of the License. Last updated - 2019-10-23","The Internet of Things (IoT) has opened up a new era of computing where by every imaginable object is equipped with, or connected to a smart device allowing data collection and communication through the Internet. The IoT challenges individual privacy in terms of the collection and use of individuals' personal data. This study assesses the extent to which the IoT has an adverse effects on Indian Society. A review of various policies and laws formulated and enacted by the Govt. Of India where taken into account and various conclusions were derived based on the analyzed facts. Findings indicate that (1) the Indian policies and Laws pertaining to IoT and cyber issues are not enough to provide stiff opposition to the current pretext of fear and mishappenings and (2) future legislations must consider the implications of global reach of IoT services with respect to its citizen's well-being.","","Collection,Computers--Artificial Intelligence,Data acquisition,Indian Policies and Laws,Indian Society Impacts,Internet of Things,Internet of Things (IoT),Policies","",""
"7","","Bueschel2014","B{""{u}}schel, Isabell; Mehdi, Rostane; Cammilleri, Anne; Marzouki, Yousri; Elger, Bernice","Protecting Human Health and Security in Digital Europe: How to Deal with the ""Privacy Paradox""?","Science and Engineering Ethics","20","3","sep","639--658","2014","New York","","https://search.proquest.com/scholarly-journals/protecting-human-health-security-digital-europe/docview/1547816768/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{_}VU2?url{_}ver=Z39.88-2004{&}rft{_}val{_}fmt=info:ofi/fmt:kev:mtx:journal{&}genre=article{&}sid=ProQ:ProQ{%}3Ahealthcompleteshell{&}atitle=Protecting+Human+Health+and+Security+in+Digital+Europe{%}3A+How+to+Deal+with+the+{%}22Privacy+Paradox{%}22{%}3F{&}title=Science+and+Engineering+Ethics{&}issn=13533452{&}date=2014-09-01{&}volume=20{&}issue=3{&}spage=639{&}au=B{""{u}}schel{%}2C+Isabell{%}3BMehdi{%}2C+Rostane{%}3BCammilleri{%}2C+Anne{%}3BMarzouki{%}2C+Yousri{%}3BElger{%}2C+Bernice{&}isbn={&}jtitle=Science+and+Engineering+Ethics{&}btitle={&}rft{_}id=info:eric/24446151{&}rft{_}id=info:doi/10.1007{%}2Fs11948-013-9511-y","","","","","","Springer Nature B.V.","","","","","","Copyright - Springer Science+Business Media Dordrecht 2014 Document feature - References Last updated - 2014-09-10","Issue Title: Ethical and Societal Implications of Technologies for Human Security   This article is the result of an international research between law and ethics scholars from Universities in France and Switzerland, who have been closely collaborating with technical experts on the design and use of information and communication technologies in the fields of human health and security. The interdisciplinary approach is a unique feature and guarantees important new insights in the social, ethical and legal implications of these technologies for the individual and society as a whole. Its aim is to shed light on the tension between secrecy and transparency in the digital era. A special focus is put from the perspectives of psychology, medical ethics and European law on the contradiction between individuals' motivations for consented processing of personal data and their fears about unknown disclosure, transferal and sharing of personal data via information and communication technologies (named the ""privacy paradox""). Potential benefits and harms for the individual and society resulting from the use of computers, mobile phones, the Internet and social media are being discussed. Furthermore, the authors point out the ethical and legal limitations inherent to the processing of personal data in a democratic society governed by the rule of law. Finally, they seek to demonstrate that the impact of information and communication technology use on the individuals' well-being, the latter being closely correlated with a high level of fundamental rights protection in Europe, is a promising feature of the socalled ""e-democracy"" as a new way to collectively attribute meaning to large-scale online actions, motivations and ideas.[PUBLICATION ABSTRACT]","","Computer privacy,Data integrity,Ethics,Information technology,Philosophy","",""
"7","","Xu2012","Xu, Heng; Teo, Hock-Hai; Tan, Bernard C. Y.; Agarwal, Ritu","Effects of Individual Self-Protection, Industry Self-Regulation, and Government Regulation on Privacy Concerns: A Study of Location-Based Services","Information Systems Research","23","4","dec","1342--1363,1378,1382--1383","2012","Linthicum","","https://search.proquest.com/scholarly-journals/effects-individual-self-protection-industry/docview/1284081148/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{_}VU2?url{_}ver=Z39.88-2004{&}rft{_}val{_}fmt=info:ofi/fmt:kev:mtx:jour","","","","","","Institute for Operations Research and the Management Sciences","","","","","","Copyright - Copyright Institute for Operations Research and the Management Sciences Dec 2012 Document feature - Tables; Diagrams; References Last updated - 2020-11-17 SubjectsTermNotLitGenreText - Singapore","This study seeks to clarify the nature of control in the context of information privacy to generate insights into the effects of different privacy assurance approaches on context-specific concerns for information privacy. We theorize that such effects are exhibited through mediation by perceived control over personal information and develop arguments in support of the interaction effects involving different privacy assurance approaches (individual self-protection, industry self-regulation, and government legislation). We test the research model in the context of location-based services using data obtained from 178 individuals in Singapore. In general, the results support our core assertion that perceived control over personal information is a key factor affecting context-specific concerns for information privacy. In addition to enhancing our theoretical understanding of the link between control and privacy concerns, these findings have important implications for service providers and consumers as well as for regulatory bodies and technology developers. [PUBLICATION ABSTRACT]","","5140:Security management,5220:Information technology management,9130:Experiment/theoretical treatment,9179:Asia {&} the Pacific,Computers--Information Science And Information The,Consumers,Data integrity,Impact analysis,Location based services,Personal information,Privacy,Self regulation,Singapore,Studies","",""
"7","","Limba2018","Limba, Tadas; {v{S}}idlauskas, Aurimas","Secure personal data administration in the social networks: the case of voluntary sharing of personal data on the Facebook","Entrepreneurship and Sustainability Issues","5","3","mar","528--541","2018","Vilnius","","https://search.proquest.com/scholarly-journals/secure-personal-data-administration-social/docview/2468437311/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{_}VU2?url{_}ver=Z39.88-2004{&}rft{_}val{_}fmt=info:ofi/fmt:kev:mtx:journal{&}genre=unknown{&}sid=ProQ:ProQ{%}3Apubliccontent{&}atitle=Secure+personal+data+administration+in+the+social+networks{%}3A+the+case+of+voluntary+sharing+of+personal+data+on+the+Facebook{&}title=Entrepreneurship+and+Sustainability+Issues{&}issn={&}date=2018-03-01{&}volume=5{&}issue=3{&}spage=528{&}au=Limba{%}2C+Tadas{%}3B{v{S}}idlauskas{%}2C+Aurimas{&}isbn={&}jtitle=Entrepreneurship+and+Sustainability+Issues{&}btitle={&}rft{_}id=info:eric/{&}rft{_}id=info:doi/10.9770{%}2Fjesi.2018.5.3{%}289{%}29","","","","","","","","","","","","Copyright - {textcopyright} 2018. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License. Last updated - 2020-12-10","In view of the changes taking place in society, social progress and the achievements of science and technology, the protection of fundamental rights must be strengthened. The aim of the article is to analyse the principles and peculiarities of safe management of the personal data in social networks. In this scientific article, methods of document analysis, scientific literature review, case study and generalization are used. Consumers themselves decide how much and what kind of information to publicize on the Facebook social network. In order to use the third-party applications, users at the time of authorization must confirm that they agree to give access to their personal data otherwise the service will not be provided. Personal data of the Facebook user comprise his/her public profile including user's photo, age, gender, and other public information; a list of friends; e-mail mail; time zone records; birthday; photos; hobbies, etc. Which personal data will be requested from the user depends on the third-party application. Analysis of the legal protection of personal data in the internet social networks reveals that it is limited to the international and European Union legal regulation on protection of the personal data in the online social networks. Users who make publicly available a large amount of personal information on the Facebook social network should decide on the issue if they want to share that information with third parties for the use of their services (applications). This article presents a model for user and third party application interaction, and an analysis of risks and recommendations to ensure the security of personal data of the user.","","Business And Economics--Management,Social networks,personal data,security of the data,social network,third-party applications","",""
"7","","Mitchell2019","Mitchell, Scott S. D.","“Warning! You're entering a sick zone”","Online Information Review","43","6","","1046--1062","2019","Bradford","","https://search.proquest.com/scholarly-journals/warning-you-re-entering-sick-zone/docview/2302303876/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{_}VU2?url{_}ver=Z39.88-2004{&}rft{_}val{_}fmt=info:ofi/fmt:kev:mtx:journal{&}genre=","","","","","","Emerald Group Publishing Limited","","","","","","Copyright - {textcopyright} Emerald Publishing Limited 2018 Last updated - 2020-11-17","PurposeTraditional public health methods for tracking contagious diseases are increasingly complemented with digital tools, which use data mining, analytics and crowdsourcing to predict disease outbreaks. In recent years, alongside these public health tools, commercial mobile apps such as Sickweather have also been released. Sickweather collects information from across the web, as well as self-reports from users, so that people can see who is sick in their neighborhood. The purpose of this paper is to examine the privacy and surveillance implications of digital disease tracking tools.Design/methodology/approachThe author performed a content and platform analysis of two apps, Sickweather and HealthMap, by using them for three months, taking regular screenshots and keeping a detailed user journal. This analysis was guided by the walkthrough method and a cultural-historical activity theory framework, taking note of imagery and other content, but also the app functionalities, including characteristics of membership, “rules” and parameters of community mobilization and engagement, monetization and moderation. This allowed me to study HealthMap and Sickweather as modes of governance that allow for (and depend upon) certain actions and particular activity systems.FindingsDraw on concepts of network power, the surveillance assemblage, and Deleuze's control societies, as well as the data gathered from the content and platform analysis, the author argues that disease tracking apps construct disease threat as omnipresent and urgent, compelling users to submit personal information – including sensitive health data – with little oversight or regulation.Originality/valueDisease tracking mobile apps are growing in popularity yet have received little attention, particularly regarding privacy concerns or the construction of disease risk.","","Analytics,Applications programs,Big Data,Community relations,Computers--Internet,Crowdsourcing,Data,Data mining,Disease tracking,Epidemics,Imagery,Infectious diseases,Mobile apps,Mobile computing,Privacy,Public health,Social networks,Surveillance,Surveillance medicine,Tools,Tracking,User generated content,Web sites","",""
"7","","Nehf2007","Nehf, James P.; Pitt, Leyland F.; Watson, Richard T.","Shopping for Privacy on the Internet/A Reply: An Ecosystem Perspective on Privacy","The Journal of Consumer Affairs","41","2","","351--375","2007","Madison","","https://search.proquest.com/scholarly-journals/shopping-privacy-on-internet-reply-ecosystem/docview/195901366/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{_}VU2?url{_}ver=Z39.88-2004{&}rft{_}val{_}fmt=info:ofi/fmt:kev:mtx:journal{&}genre=article{&}sid=ProQ:ProQ{%}3Aabiglobal{&}atitle=Shopping+for+Privacy+on+the+Internet{%}2FA+Reply{%}3A+An+Ecosystem+Perspective+on+Privacy{&}title=The+Journal+of+Consumer+Affairs{&}issn=00220078{&}date=2007-12-01{&}volume=41{&}issue=2{&}spage=351{&}au=Nehf{%}2C+James+P{%}3BPitt{%}2C+Leyland+F{%}3BWatson{%}2C+Richard+T{&}isbn={&}jtitle=The+Journal+of+Consumer+Affairs{&}btitle={&}rft{_}id=info:eric/{&}rft{_}id=info:doi/","","","","","","Blackwell Publishing Ltd.","","","","","","Copyright - Copyright Blackwell Publishing Ltd. Winter 2007 Document feature - References; Diagrams; Tables Last updated - 2020-11-17 SubjectsTermNotLitGenreText - United States--US","Privacy is a concern for all major stakeholders in modern society, and technology to erode privacy continually emerges. Studies show that individuals are concerned about database privacy; yet, they seldom make privacy a salient attribute when deciding among competing alternatives. Although privacy policies are present on many Web sites, Web users rarely bother to read them. Professor Nehf explores why this is so, identifying rational reasons why Web users do not shop for privacy and discussing the implications for the expanding market for consumer information. Unless privacy becomes a salient attribute influencing consumer choice, Web site operators will continue to obtain and use more personal information than Web users would choose to provide in a more transparent exchange. In a responding commentary, Professors Pitt and Watson use an ecosystem approach that explores the multiple dimensions of privacy. Investigating the interactions between the three major players-citizen/consumer/investor, government, and corporation-they identify reasons for the failure of market mechanisms to arise to protect privacy. [PUBLICATION ABSTRACT]","","45411:Electronic Shopping and Mail-Order Houses,5250:Telecommunications systems {&} Internet communications,9130:Experiment/theoretical treatment,9190:United States,Consumer Education And Protection,Consumer protection,Consumers,Electronic commerce,Heuristic,Privacy,Studies,United States--US","",""
"10","","Ghayoumi2016","Ghayoumi, Mehrdad","Review of Security and Privacy Issues in e-Commerce","","","","","156--160","2016","Athens","","https://search.proquest.com/conference-papers-proceedings/review-security-privacy-issues-e-commerce/docview/1806558682/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{_}VU2?url{_}ver=Z39.88-2004{&}rft{_}val{_}fmt=info:ofi/fmt:kev:mtx:journal{&}genre=article{&}sid=ProQ:ProQ{%}3Ahightechjournals{&}atitle=Review+of+Security+and+Privacy+Issues+in+e-Commerce{&}title=Proceedings+of+the+International+Conference+on+e-Learning{%}2C+e-Business{%}2C+Enterprise+Information+Systems{%}2C+and+e-Government+{%}28EEE{%}29{&}issn={&}date=2016-01-01{&}volume={&}issue={&}spage=156{&}au=Ghayoumi{%}2C+Mehrdad{&}isbn={&}jtitle=Proceedings+of+the+International+Conference+on+e-Learning{%}2C+e-Business{%}2C+Enterprise+Information+Systems{%}2C+and+e-Government+{%}28EEE{%}29{&}btitle={&}rft{_}id=info:eric/{&}rft{_}id=info:doi/","Proceedings of the International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government (EEE)","","","","","The Steering Committee of The World Congress in Computer Science, Computer Engineering and Applied Computing (WorldComp)","","","","","","Copyright - Copyright The Steering Committee of The World Congress in Computer Science, Computer Engineering and Applied Computing (WorldComp) 2016 Document feature - References Last updated - 2016-07-26","Privacy- the control over one's personal data - and security-the struggled access to the data by unauthorized other, are two critical problems for e-commerce consumers. Without either, consumers will not visit or shop at a site, nor can sites function effectively without considering both. This paper reviews the review for privacy and security respectively. We study privacy from social psychological, organizational, technical, and economic perspectives.","","Computers","",""
