BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
5,"9781970001075","2017","","Preface","",,,"","xi----xv",2017,"","","https://doi.org/10.1145/3122865.3122866","Frontiers of Multimedia Research","","","","","Association for Computing Machinery and Morgan {\&} Claypool","","","","","","","The field of multimedia is dedicated to research and studies that leverage multiple modalities of signals and data in developing intelligent systems and technologies. Be it search engine, recommendation system, streaming service, interactive agent, or collaborative system, multimedia plays a critical role in ensuring full understanding of multimodal sensory signals, robust modeling of user-content interaction, natural and rich communication experience, and scalable system deployment. The goal is to utilize unique contributions from each modality, integrate complementary synergies, and achieve the best performance and novel functions beyond what's separately available in each individual medium. In this community, most contributors also maintain strong activities in other disciplines such as networking, computer vision, human-computer interaction, and machine learning. But the field of multimedia is unique in offering a rich and dynamic forum for researchers from "traditional" fields to collaborate and develop new solutions and knowledge that transcend the boundaries of individual disciplines.The field enjoys a long history of vibrant research. For example, the flagship ACM SIGMM Multimedia Conference was established in 1993, celebrating its 25th anniversary this year. The community also has several well-known conferences and journals organized by ACM, IEEE, and other groups, attracting a large number of researchers and practitioners from around the world. However, despite the prolific research activities and outcomes, there has been less effort toward developing books that serve as an introduction to the rich spectrum of topics in this broad field. Most of the few books available today either focus on specific subfields or basic background. There is a lack of tutorial-style materials covering the active topics being pursued by the leading researchers at frontiers of the field.SIGMM launched a new initiative to address this need in 2015, by selecting and inviting 12 rising-star speakers from different subfields of multimedia to deliver plenary tutorial style talks at ACM Multimedia 2015. Each speaker discussed challenges and the state of the art within their prospective research areas in a general manner to the broad community. Topics covered were comprehensive, including multimedia content understanding, multimodal human-human and human-computer interaction, multimedia social media, and multimedia system architecture and deployment. Following the very positive responses to the talks, these rising-star speakers were invited to expand the content covered in their talks to chapters that can be used as reference materials for researchers, students, and practitioners. Each resulting chapter discusses problems, technical challenges, state-of-the-art approaches and performances, open issues, and promising directions for future work. Collectively, the chapters provide an excellent sampling of major topics addressed by the community as a whole. This book, capturing outcomes of such efforts, is well positioned to fill the aforementioned needs by providing tutorial-style reference materials for frontier topics of multimedia.Section 1 of the book includes five chapters that are focused on analysis and understanding of multimedia content. Topics covered range from analysis of video content, audio content, multimodal content about interaction of freestanding conversational groups, and analysis of multimedia data in the encrypted format for preserving privacy on cloud servers, to efficient approximate similarity search techniques for searching over large-scale databases.First, Zuxuan Wu et al. review current research on understanding video content by detecting the classes of actions or events contained in a given video clip and generation of full-sentence captions describing the content in each such video. Unlike previous surveys, this review focuses on solutions based on deep learning, reflecting the recent trend of research in this area. The chapter also gives extensive reviews of the datasets used in state-of-the-art research and benchmarking efforts.Extending the modality from video to audio, in Chapter 2, Gerald Friedland et al. introduce the field of computer audition, aiming to develop the theory behind artificial systems that can extract information from sound. This chapter reviews the research datasets available, appropriate representations needed for audio, and a few challenging problems such as automatic extraction of hierarchical semantic structures from audio content and automatic discovery of high-level semantic concepts from massive audio data and associated metadata.The holy grail of research for the multimedia community is to be able to integrate and fuse information extracted from multiple modalities of data. In Chapter 3, Xavier Alameda-Pineda et al. present an excellent example and emergent research challenges in the application of detecting social interaction among freestanding conversational groups. The chapter includes overviews of research issues, approaches, evaluation of joint estimation of head and body poses using multiPreface modality data (such as wearable sensors and distributed camera networks), and results of detecting dynamic group formation of interacting people.Chapter 4 addresses a novel emerging topic prompted by the popular approach to multimedia analysis using cloud computing servers. When multimedia data is sent to the cloud for storage or processing, there is a risk of privacy breach via unauthorized access by third parties to the content in the cloud. Pradeep Atrey et al. review state-of-the-art methods and open issues for processing multimedia content in the encrypted domain without needing to convert data to the original format. This allows content to stay in its protected form while useful analysis is performed on it.In Chapter 5, Herv{\'{e}}e Jeundefinedou surveys efficient techniques for finding approximate solutions for similarity search, which is of particular interest when searching massive multimedia data like images, videos, and audio recordings. Jeundefinedou considers various performance factors like query speed, memory requirement, and search accuracy. Multiple frameworks based on locality sensitive hashing (LSH), quantization/ compression, and hybrid combinations are also reviewed in a coherent manner.In Section 2 of the book, the emphasis shifts from content analysis to humancentered aspects of multimedia computing. This new focus goes beyond extraction of semantic information from multimedia data. Instead, the broad research scope incorporates understanding of users and user-content interaction so as to improve effectiveness of multimedia systems in many applications, such as search and recommendation.Under the human-centric theme, Chapter 6, authored by Peng Cui, discusses the evolution of multimedia computing paradigms from the data-centric, to the content-centric, and recently to the human-centric. Cui presents a new framework, called social-sensed multimedia computing, to capture many key issues involved and advances achieved, including understanding of user-content interaction behavior, understanding of user intent, multimedia representation considering user intention, and integration of heterogeneous data sensed on multimedia social networks.Chapter 7 follows the human-centric theme and further moves the focus from processing individual multimedia data streams to processing a large number of heterogeneous streams in different modalities involving a large number of people. Analysis of such massive streams offers the possibility of detecting important situations of society, such as socio-economic affairs, as well as the living environment. Vivek Singh provides an overview of the problem definition, research framework, and the EventShop toolkit he developed for application development in this emerging area.The extension to the human-centric computing paradigm also calls for formal mathematical theories and tools for explaining the phenomena observed, such as the information propagation behaviors and the occurrences of information cascades on social networks. In Chapter 8, Marian-Andrei Rizoiu et al. review stochastic processes such as the Hawkes point process for modeling discrete, interdependent events over continuous time. These are strongly related to patterns corresponding to retweet cascade events on social media. Successful models like these can help researchers understand information dissemination patterns and predict popularity on social media.Interaction between users and content reveals not only the intent of the user (covered in Chapter 6), but also attributes of the content as well as of the user him/herself. Such interaction can be manifested in multiple forms including explicit cues such as visual and verbal expressions, and implicit cues such as eye movement and physiological signals like brain activity and heart rate. Chapter 9 includes a survey by Subramanian Ramanathan et al. on how such implicit user interaction cues can be explored to improve analysis of content (scene understanding) and user (user emotion recognition).To support research and development of emerging multimedia topics discussed above, there is a critical need for new generations of communication and computing systems that take into account the unique requirements of multimedia, such as real-time, high bandwidth, distributiveness, major power consumption, and resource uncertainty. The popular cloud-based computing systems, though prevalent formanyapplications, are not suitable for large-scale multimedia applications such as cloud-based gaming service and animation rendering service.The last section of the book focuses on the systems aspect, covering distinct topics of multimedia fog computing (Chapter 10) and cloud gaming (Chapter 11). Cheng-Hsin Hsu et al. survey the emerging paradigm focused on fog computing, in which computing services are crowdsourced to the edge nodes or even to the client devices on the user end. This offers major potential benefits in terms of low latency, location awareness, scalability, and heterogeneity. However, it also poses many significant challenges in areas such as resource discovery, resource allocation and management, quality of service, and security. Discussion of these challenges, along with recent advances in this area, are presented in Chapter 10.Finally, as a concrete example of large-scale distributed multimedia computing systems, Chapter 11 (by Kuan-Ta Chen et al.) presents a comprehensive survey of cloud gaming, with emphasis on the development of platform and testbed, test scenarios, and evaluation of performance, in order to enhance optimal design of various components of the complex cloud gaming systems. In particular, the chapter overviews extensive research in areas such as open-source platforms, cloud deployment, client design, and communication between gaming servers and clients.The scope of this book is by no means exhaustive or complete. For example, it can be expanded to include other important topics such as (but not limited to) multimedia content generation, multimodal knowledge discovery and representation, multimedia immersive networked environments, and applications in areas like healthcare, learning, and infrastructure. Nonetheless, the comprehensive survey materials already covered in the book provide an excellent foundation for exploring additional topics mentioned above, and many other relevant fields.We would like to give sincere acknowledgment to Dr. Svebor Karaman, who has provided tremendous assistance in communicating with contributors and organizing the content of this book. In addition, Diane Cerra and her team at Morgan {\&} Claypool Publishers have provided valuable guidance and editorial help","","","",""
7,"","2020","","Compatibility of a Security Policy for a Cloud-Based Healthcare System with the EU General Data Protection Regulation (GDPR)","Information",11,12,"","586",2020,"Basel","","https://search.proquest.com/scholarly-journals/compatibility-security-policy-cloud-based/docview/2471600233/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{\_}VU2?url{\_}ver=Z39.88-2004{\&}rft{\_}val{\_}fmt=info:ofi/fmt:kev:mtx:journa","","","","","","MDPI AG","","","","","","Name - Council of Europe; European Union Copyright - {\textcopyright} 2020. This work is licensed under http://creativecommons.org/licenses/by/3.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License. Last updated - 2020-12-22","Currently, there are several challenges that cloud-based healthcare systems around the world are facing. The most important issue is to ensure security and privacy, or in other words, to ensure the confidentiality, integrity, and availability of the data. Although the main provisions for data security and privacy were present in the former legal framework for the protection of personal data, the General Data Protection Regulation (GDPR) introduces new concepts and new requirements. In this paper, we present the main changes and the key challenges of the GDPR and, at the same time, we present how a cloud-based security policy could be modified in order to be compliant with the GDPR, as well as how cloud environments can assist developers to build secure and GDPR compliant cloud-based healthcare systems. The major concept of this paper is dual-purpose; primarily, to facilitate cloud providers in comprehending the framework of the new GDPR and secondly, to identify security measures and security policy rules, for the protection of sensitive data in a cloud-based healthcare system, following our risk-based security policy methodology that assesses the associated security risks and takes into account different requirements from patients, hospitals, and various other professional and organizational actors.","","Cloud computing,Compliance,Computers--Information Science And Information The,Confidentiality,Data processing,GDPR,General Data Protection Regulation,Health care,Health care industry,Labor unions,Privacy,Security,Software services,Union membership,cloud computing,data protection,healthcare systems,privacy,security","",""
7,"","2020a","","E-Customer Security as a Social Value in the Sphere of Sustainability","Sustainability",12,24,"","10590",2020,"Basel","","https://search.proquest.com/scholarly-journals/e-customer-security-as-social-value-sphere/docview/2471984376/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{\_}VU2?url{\_}ver=Z39.88-2004{\&}rft{\_}val{\_}fmt=info:ofi/fmt:kev:mtx:journal{\&}genre=article{\&}sid=ProQ:ProQ{\%}3Aesdb{\&}atitle=E-Customer+Security+as+a+Social+Value+in+the+Sphere+of+Sustainability{\&}title=Sustainability{\&}issn={\&}date=2020-01-01{\&}volume=12{\&}issue=24{\&}spage=10590{\&}au={\&}isbn={\&}jtitle=Sustainability{\&}btitle={\&}rft{\_}id=info:eric/{\&}rft{\_}id=info:doi/10.3390{\%}2Fsu122410590","","","","","","MDPI AG","","","","","","Name - International Labor Organization Copyright - {\textcopyright} 2020. This work is licensed under http://creativecommons.org/licenses/by/3.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License. Last updated - 2020-12-23","Customer security in the e-commerce sector is not, but should be, approached in terms of sustainability, because it is a social problem concerning more than 2 billion people worldwide and over 20 million shopping sites. New techniques and technologies are implemented in this sector not only by e-sellers, but also by cybercriminals, which significantly lowers the level of its security. The purpose of the paper is to present, on the basis of own research, the main e-commerce threats from the perspective of the customer and the seller, and to indicate the possibility of their elimination, which should contribute to sustainable development. The threats from the e-customer's perspective were identified by considering individual phases of online purchase. In the case of e-shops, the threats were analyzed in a personnel—computer hardware—software structure. As conducted research shows, the threats for e-customers are located in three main areas: security of the means of payment, security of personal data and payment cards, and security of purchased goods. The security of the e-customer largely depends on the security of the e-store in which the purchase is made. Research has shown that e-stores are not fully secure, which mainly results from negligence and the lack of knowledge in the sphere of cybersecurity.","","Computer security,Consumerism,Consumption,Customers,Electronic commerce,Environmental Studies,Environmental impact,Exploitation,Literature reviews,Negligence,Population growth,Security,Shopping,Social problems,Sustainable development,Threat evaluation,Threats,e-commerce,e-customer,e-shop,security,social threats,sustainable development","",""
6,"9781450367530","Abdulla2019","Abdulla, Ahmed Khalil; Bakiras, Spiridon","HITC: Data Privacy in Online Social Networks with Fine-Grained Access Control","",,,"","123--134",2019,"New York, NY, USA","","https://doi.org/10.1145/3322431.3325104","Proceedings of the 24th ACM Symposium on Access Control Models and Technologies","","","SACMAT '19","","Association for Computing Machinery","","","","","","","Online Social Networks (OSNs), such as Facebook and Twitter, are popular platforms that enable users to interact and socialize through their networked devices. The social nature of such applications encourages users to share a great amount of personal data with other users and the OSN service providers, including pictures, personal views, location check-ins, etc. Nevertheless, recent data leaks on major online platforms demonstrate the ineffectiveness of the access control mechanisms that are implemented by the service providers, and has led to an increased demand for provably secure privacy controls. To this end, we introduce Hide In The Crowd (HITC), a flexible system that leverages encryption-based access control, where users can assign arbitrary decryption privileges to every data object that is posted on the OSN platforms. The decryption privileges can be assigned on the finest granularity level, for example, to a hand-picked group of users. HITC is designed as a browser extension and can be integrated to any existing OSN platform without the need for a third-party server. We describe our prototype implementation of HITC over Twitter and evaluate its performance and scalability.","","data privacy, hidden vector encryption, online social networks,access control","",""
7,"","Abie2004","Abie, Habtamu; Spilling, P{\aa}l; Foyn, Bent","A distributed digital rights management model for secure information-distribution systems","International Journal of Information Security",3,2,"nov","113--128",2004,"Heidelberg","","https://search.proquest.com/scholarly-journals/distributed-digital-rights-management-model/docview/227317291/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{\_}VU2?url{\_}ver=Z39.88-2004{\&}rft{\_}val{\_}fmt=info:ofi/fmt:kev:mtx:journ","","","","","","Springer Nature B.V.","","","","","","Copyright - Copyright Springer-Verlag 2004 Last updated - 2020-11-18","There is a need to protect digital information content and the associated usage rights from unauthorized access, use, and dissemination. The protection mechanisms should meet the requirements for the correct management of fine-grained access and usage controls and the protection of user privacy. Digital rights management (DRM) solutions have significant relevance in this context. This paper describes a distributed DRM model for a secure information-distribution system consisting of six trust-building blocks. These are (i) the user application, (ii) the authentication and authorization module, (iii) Rights-Carrying and Self-Enforcing Objects (SEOs), (iv) the privacy enforcement module, (v) the Usage Tracking and Monitoring Proxy (UTMP), and (vi) the security infrastructure. SEOs are information objects that carry access and usage rights and are responsible for the fine-grained enforcement of these rights. The security infrastructure plays a pivotal role in the creation, distribution, storage, manipulation, and communication of information objects across organizational boundaries with the required level of security. Our model was originally developed for an Internet-based learning project in Norwegian schools and meets most of the aforementioned requirements. [PUBLICATION ABSTRACT]","","5140:Security management,5240:Software {\&} systems,9130:Experimental/theoretical,Computers--Computer Security,Digital rights management,Information systems,Infrastructure,Network security,Studies","",""
6,"1595936041","AbouTair2006","Abou-Tair, Dhiah el Diehn I.","A Framework Ensuring Privacy in a Distributed Environment","",,,"","",2006,"New York, NY, USA","","https://doi.org/10.1145/1501434.1501490","Proceedings of the 2006 International Conference on Privacy, Security and Trust: Bridge the Gap Between PST Technologies and Business Services","","","PST '06","","Association for Computing Machinery","","","","","","","In the age of Internet and loosely coupled applications, privacy has become a matter of concern. Individuals lose track of their personal data and have no control over databases and information systems containing their personal data. In the field of distributed systems, resarchers focus mainly on how to integrate a variety of systems in a way so that persons benefit from other systems' functionalities and data sources. In general, the integration is done on the business logic layer. As a consequence special properties of data, like privacy properties, are neglected. In fact, it is a big challenge for distributed applications to adapt privacy regulations, to ensure conformity to privacy regulations, and to execute the adaptation process in a transparent and comprehensible form. Unlike most existing work, this paper provides a solution to the problem of adapting privacy regulations in a distributed environment. The framework presented in this study is a novel enterprise architecture that assures privacy according to diverse data privacy regulations and illustrates the adapting process in a transparent and comprehensible form. Moreover, it maintains and enhances additional data privacy properties wherever they apply.","","access control, information flow control, privacy,policy enforcement","",""
7,"","Acquisti2016","Acquisti, Alessandro; Taylor, Curtis; Wagman, Liad","The Economics of Privacy","Journal of Economic Literature",54,2,"jun","442--492",2016,"Nashville","","https://search.proquest.com/scholarly-journals/economics-privacy/docview/1793913411/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{\_}VU2?url{\_}ver=Z39.88-2004{\&}rft{\_}val{\_}fmt=info:ofi/fmt:kev:mtx:journal{\&}genre=article{\&}sid=ProQ","","","","","","American Economic Association","","","","","","Copyright - Copyright American Economic Association Jun 2016 Document feature - References Last updated - 2020-11-17 CODEN - JECLB3","This article summarizes and draws connections among diverse streams of theoretical and empirical research on the economics of privacy. We focus on the economic value and consequences of protecting and disclosing personal information, and on consumers' understanding and decisions regarding the trade-offs associated with the privacy and the sharing of personal data. We highlight how the economic analysis of privacy evolved over time, as advancements in information technology raised increasingly nuanced and complex issues. We find and highlight three themes that connect diverse insights from the literature. First, characterizing a single unifying economic theory of privacy is hard, because privacy issues of economic relevance arise in widely diverse contexts. Second, there are theoretical and empirical situations where the protection of privacy can both enhance and detract from individual and societal welfare. Third, in digital economies, consumers' ability to make informed decisions about their privacy is severely hindered because consumers are often in a position of imperfect or asymmetric information regarding when their data is collected, for what purposes, and with what consequences. We conclude the article by highlighting some of the ongoing issues in the privacy debate of interest to economists. (JEL D82, D83, G20, I10, L13, M31, M37 )","","1130:Economic theory,1200:Social policy,9130:Experimental/theoretical,Abstracting And Indexing Services,Advertising,Bayesian analysis,Economics,Economists,Information sharing,Information systems,Labor market,Marketing,Political economy,Privacy,Social networks,Studies","",""
7,"","Adams2017","Adams, Mackenzie","Big Data and Individual Privacy in the Age of the Internet of Things","Technology Innovation Management Review",7,4,"apr","12--24",2017,"Ottawa","","https://search.proquest.com/scholarly-journals/big-data-individual-privacy-age-internet-things/docview/1963138244/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{\_}VU2?url{\_}ver=Z39.88-2004{\&}rft{\_}val{\_}fmt=info:ofi/fmt:kev:mtx:journal{\&}genre=article{\&}sid=ProQ:ProQ{\%}3Aabiglobal{\&}atitle=Big+Data+and+Individual+Privacy+in+the+Age+of+the+Internet+of+Things{\&}title=Technology+Innovation+Management+Review{\&}issn={\&}date=2017-04-01{\&}volume=7{\&}issue=4{\&}spage=12{\&}au=Adams{\%}2C+Mackenzie{\&}isbn={\&}jtitle=Technology+Innovation+Management+Review{\&}btitle={\&}rft{\_}id=info:eric/{\&}rft{\_}id=info:doi/","","","","","","Talent First Network","","","","","","Copyright - Copyright Talent First Network Apr 2017 Last updated - 2020-11-17 SubjectsTermNotLitGenreText - Canada","The availability of "big data" and "smart" products are credited with advancing solutions to complex problems in medicine, transportation, and education, among others. However, with big data comes big responsibility. The collection, storage, sharing, and analysis of data are far outpacing individual privacy protections, whether technological or legislative. The Internet of Things (IoT), with its promise to create networks of networks, will magnify individual data privacy threats. Recent data breaches, exposing the personal information of millions of users, provide insight into the vulnerability of personal data. Although seemingly expansive, there are core individual privacy issues that are central to current big data breaches and anticipated IoT threats. This article examines both big data and the IoT using examples of data privacy breaches to illustrate the impact of individual data loss. Furthermore, the article examines the complexity of tackling technological and legislative challenges in protecting individual privacy. It concludes by summarizing these issues in terms of the future implications of the IoT and the loss of privacy.","","Big Data,Business And Economics,Canada,Complexity,Data integrity,Data loss,Data management,Entrepreneurship,Internet of Things,Privacy,Studies","",""
7,"","Adascalitei2019","Adăscăliţei, Ioan","Smartphones and IoT Security","Informatica Economica",23,2,"","63--75",2019,"Bucharest University of Economic Studies, Romania ; Bucharest University of Economic Studies, Romania","","https://search.proquest.com/scholarly-journals/smartphones-iot-security/docview/2265610950/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{\_}VU2?url{\_}ver=Z39.88-2004{\&}rft{\_}val{\_}fmt=info:ofi/fmt:kev:mtx:journal{\&}genre=article{\&}s","","","","","","INFOREC Association","","","","","","Copyright - {\textcopyright} 2019. This work is published under https://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License. Last updated - 2020-11-17","Mobile devices (smartphones or IoT devices) threats are all over and come in many ways. Nowadays the number of mobile devices is extremely high and we use them to cover many personal needs like ordering food, buying plane tickets, controlling our home from distance (using IoT devices) and so on. But all of this comes with a cost and that cost is that we have to give personal data to some devices which lead to threats. This paper contains a classification for the threats and vulnerabilities for smartphones and tablets and a short one for IoT devices. Here are described some attack scenarios for IoT and a few representative attacks. As method of research was used a qualitative one by documenting from articles related to this theme, reports realized by companies which operates in this field and other resources.","","Blogs,Computers,Electronic devices,Informatics,International conferences,Internet of Things,Malware,Smart cities,Smartphones,Software,Tablet computers,Threats,Tickets,Wireless access points","",""
7,"","Addae2017","Addae, Joyce Hoese; Brown, Michael; Xu, Sun; Towey, Dave; Radenkovic, Milena","Measuring attitude towards personal data for adaptive cybersecurity","Information and Computer Security",25,5,"","560--579",2017,"Faculty of Science and Engineering, University of Nottingham – Ningbo China, Ningbo, China ; Horizon Digital Economy Research, University of Nottingham, Nottingham, UK ; School of Computer Science, University of Nottingham, Nottingham, UK ; Faculty of Sci","","https://search.proquest.com/scholarly-journals/measuring-attitude-towards-personal-data-adaptive/docview/1960517983/se-2?accountid=14511 https://ucl-new-primo.hosted.exlibrisgroup.com/openurl/UCL/UCL{\_}VU2?url{\_}ver=Z39.88-2004{\&}rft{\_}val{\_}fmt=info:ofi/fmt:kev:mt","","","","","","Emerald Group Publishing Limited","","","","","","Copyright - {\textcopyright} Emerald Publishing Limited 2017 Last updated - 2020-11-17","PurposeThis paper presents an initial development of a personal data attitude (PDA) measurement instrument based on established psychometric principles. The aim of the research was to develop a reliable measurement scale for quantifying and comparing attitudes towards personal data that can be incorporated into cybersecurity behavioural research models. Such a scale has become necessary for understanding individuals' attitudes towards specific sets of data, as more technologies are being designed to harvest, collate, share and analyse personal data.Design/methodology/approachAn initial set of 34 five-point Likert-style items were developed with eight subscales and administered to participants online. The data collected were subjected to exploratory and confirmatory factor analyses and MANOVA. The results are consistent with the multidimensionality of attitude theories and suggest that the adopted methodology for the study is appropriate for future research with a more representative sample.FindingsFactor analysis of 247 responses identified six constructs of individuals' attitude towards personal data: protective behaviour, privacy concerns, cost-benefit, awareness, responsibility and security. This paper illustrates how the PDA scale can be a useful guide for information security research and design by briefly discussing the factor structure of the PDA and related results.Originality/valueThis study addresses a genuine gap in research by taking the first step towards establishing empirical evidence for dimensions underlying personal data attitudes. It also adds a significant benchmark to a growing body of literature on understanding and modelling computer users' security behaviours.","","26:Security and Protection (CI),Attitudes,Business And Economics--Management,Computer security,Design,Designers,Empirical analysis,Factor analysis,Human behavior,Information systems,Internet of Things,Privacy,Qualitative research,Science,Social networks,Social research","",""
