BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"9781424437139","10.1109/CLOUD.2009.5071532","Pearson, Siani","Taking Account of Privacy When Designing Cloud Computing Services","",,,"","44--52",2009,"USA","","https://doi.org/10.1109/CLOUD.2009.5071532","Proceedings of the 2009 ICSE Workshop on Software Engineering Challenges of Cloud Computing","","","CLOUD '09","","IEEE Computer Society","","","","","","","Privacy is an important issue for cloud computing, both in terms of legal compliance and user trust, and needs to be considered at every phase of design. In this paper the privacy challenges that software engineers face when targeting the cloud as their production environment to offer services are assessed, and key design principles to address these are suggested.","","","",""
7,"","10.1145/1013202.1013203","Byers, Simon; Rubin, Aviel D.; Kormann, David","Defending against an Internet-Based Attack on the Physical World","ACM Trans. Internet Technol.",4,3,"aug","239--254",2004,"New York, NY, USA","","https://doi.org/10.1145/1013202.1013203","","","","","","Association for Computing Machinery","","","","","","","We discuss the dangers that scalable Internet functionality may present to the real world, focusing upon an attack that is simple, yet can have great impact, which we believe may occur quite soon. We offer and critique various solutions to this class of attack and hope to provide a warning to the Internet community of what is currently possible. The attack is, to some degree, a consequence of the availability of private information on the Web, and the increase in the amount of personal information that users must reveal to obtain Web services.","","Internet threats, cybercrime,automated attacks","",""
6,"1581139365","10.1145/1029533.1029553","Romney, Victoria W.; Romney, Gordon W.","Neglect of Information Privacy Instruction: A Case of Educational Malpractice?","",,,"","79--82",2004,"New York, NY, USA","","https://doi.org/10.1145/1029533.1029553","Proceedings of the 5th Conference on Information Technology Education","","","CITC5 '04","","Association for Computing Machinery","","","","","","","Not only should InformationTechnology (IT) Educators be knowledgeable regarding data privacy legislation but they should be teaching correct system and database design principles to IT students in order to ensure future application design compliance with international legislative trends. Perhaps the most contentious and serious issue facing IT practitioners in the world today is data privacy. Data Privacy impacts every aspect of IT from database and application design to privacy and use policies, and system security and information assurance. The European Union Directive legislation has aggressively set the pattern of excellence in preserving individual data privacy worldwide, and Canada's Personal Information Protection and Electronic Document Act exerts an influence on U.S. commerce Within the U.S. laws such as the Health Insurance Portability and Accountability Act and the Gramm-Leach-Bliley Act seek to protect information privacy in specific industries.","","European union directive, Gramm-Leach-Bliley, IT education, data privacy, database design, legal issues, legislation,HIPAA","",""
6,"1581139365","10.1145/1029533.1029577","Orgill, Gregory L.; Romney, Gordon W.; Bailey, Michael G.; Orgill, Paul M.","The Urgency for Effective User Privacy-Education to Counter Social Engineering Attacks on Secure Computer Systems","",,,"","177--181",2004,"New York, NY, USA","","https://doi.org/10.1145/1029533.1029577","Proceedings of the 5th Conference on Information Technology Education","","","CITC5 '04","","Association for Computing Machinery","","","","","","","Trusted people can fail to be trustworthy when it comes to protecting their aperture of access to secure computer systems due to inadequate education, negligence, and various social pressures. People are often the weakest link in an otherwise secure computer system and, consequently, are targeted for social engineering attacks. Social Engineering is a technique used by hackers or other attackers to gain access to information technology systems by getting the needed information (for example, a username and password) from a person rather than breaking into the system through electronic or algorithmic hacking methods. Such attacks can occur on both a physical and psychological level. The physical setting for these attacks occurs where a victim feels secure: often the workplace, the phone, the trash, and even on-line. Psychology is often used to create a rushed or officious ambiance that helps the social engineer to cajole information about accessing the system from an employee.Data privacy legislation in the United States and international countries that imposes privacy standards and fines for negligent or willful non-compliance increases the urgency to measure the trustworthiness of people and systems. One metric for determining compliance is to simulate, by audit, a social engineering attack upon an organization required to follow data privacy standards. Such an organization commits to protect the confidentiality of personal data with which it is entrusted.This paper presents the results of an approved social engineering audit made without notice within an organization where data security is a concern. Areas emphasized include experiences between the Social Engineer and the audited users, techniques used by the Social Engineer, and other findings from the audit. Possible steps to mitigate exposure to the dangers of Social Engineering through improved user education are reviewed.","","access control, physical security, user education,social engineering","",""
6,"1595930485","10.1145/1059524.1059551","Moore, Christin","The Growing Trend of Government Involvement in IT Security","",,,"","119--123",2004,"New York, NY, USA","","https://doi.org/10.1145/1059524.1059551","Proceedings of the 1st Annual Conference on Information Security Curriculum Development","","","InfoSecCD '04","","Association for Computing Machinery","","","","","","","In today's society, information security has come to the forefront of discussion, especially as terrorism, illegal corporate activities, and cyber crime incidents are increasing. The government is now taking on a larger role in determining standards and regulations for information security within IT, and it is having definite impacts and effects throughout a variety of industries. From the Gramm-Leach Bliley Act, to Sarbanes-Oxley, to HIPAA, the government continues to pass legislation that promotes some control over securing information. Initiatives continue at present to further this influence into more security areas as well. Impacts to corporations involve updating architecture, policy, and integrating systems. Effects to organizations are both positive and negative, but the question must be raised as to what the true implications of government involvement entail, and whether it is a positive or negative trend.","","information security,awareness training","",""
7,"","10.1145/1082983.1082992","Neumann, Peter G.","Risks to the Public","SIGSOFT Softw. Eng. Notes",30,4,"jul","19--35",2005,"New York, NY, USA","","https://doi.org/10.1145/1082983.1082992","","","","","","Association for Computing Machinery","","","","","","","Edited by Peter G. Neumann (Risks Forum Moderator and Chairman of the ACM Committee on Computers and Public Policy), plus personal contributions by others, as indicated. Opinions expressed are individual rather than organizational, and all of the usual disclaimers apply. We address problems relating to software, hardware, people, and other circumstances relating to computer systems. To economize on space, we include pointers to items in the online Risks Forum: (R i j) denotes RISKS vol i number j. Cited RISKS items generally identify contributors and sources, together with URLs. Official RISKS archives are available at www.risks.org (which redirects to Newcastle and gets you nice html formatting and a search engine courtesy of Lindsay Marshall; http://catless.ncl.ac.uk/Risks/i.j.html gets you (R i j)) and at ftp://www.sri.com/risks.","","","",""
7,"","10.1145/1118537.1118551","Neumann, Peter G.","Risks to the Public","SIGSOFT Softw. Eng. Notes",31,2,"mar","6--16",2006,"New York, NY, USA","","https://doi.org/10.1145/1118537.1118551","","","","","","Association for Computing Machinery","","","","","","","Edited by Peter G. Neumann (Risks Forum Moderator and Chairman of the ACM Committee on Computers and Public Policy), plus personal contributions by others, as indicated. Opinions expressed are individual rather than organizational, and all of the usual disclaimers apply. We address problems relating to software, hardware, people, and other circumstances relating to computer systems. To economize on space, we include pointers to items in the online Risks Forum: (R i j) denotes RISKS vol i number j. Cited RISKS items generally identify contributors and sources, together with URLs. Official RISKS archives are available at www.risks.org (which redirects to Newcastle and gets you nice html formatting and a search engine courtesy of Lindsay Marshall; http://catless.ncl.ac.uk/Risks/i.j.html gets you (R i j)) and at ftp://www.sri.com/risks.","","","",""
6,"1595933492","10.1145/1125170.1125230","Lai, Yee-Lin; Hui, Kai-Lung","Internet Opt-in and Opt-out: Investigating the Roles of Frames, Defaults and Privacy Concerns","",,,"","253--263",2006,"New York, NY, USA","","https://doi.org/10.1145/1125170.1125230","Proceedings of the 2006 ACM SIGMIS CPR Conference on Computer Personnel Research: Forty Four Years of Computer Personnel Research: Achievements, Challenges {\&} the Future","","","SIGMIS CPR '06","","Association for Computing Machinery","","","","","","","This paper studies the solicitation process of consumers' consent - should consumers be requested to explicitly disapprove the use of their personal data (opt-out), or to acknowledge and permit the use of such data (opt-in)? Although these two actions may serve the same functional purpose (i.e., grant approval to the use of the supplied information), various regulatory and industry bodies have exhibited opposing attitudes towards them. The European Union Data Directive (1995) endorses the opt-in approach, whereas the Direct Marketing Association (DMA) recommends an opt-out procedure for consumers to remove their data from future uses. The two approaches can be operationalized via different option frames and preference elicitations. We illustrate how different permutation of frames and default preferences can affect the level of consumer participation and investigate the moderating role of privacy concern on these corollaries.","","defaults, frames, opt-in, opt-out, privacy concern,information privacy","",""
6,"1595934375","10.1145/1231047.1231084","Payton, Anne M.","Data Security Breach: Seeking a Prescription for Adequate Remedy","",,,"","162--167",2006,"New York, NY, USA","","https://doi.org/10.1145/1231047.1231084","Proceedings of the 3rd Annual Conference on Information Security Curriculum Development","","","InfoSecCD '06","","Association for Computing Machinery","","","","","","","Data security breaches are increasing in frequency and scope. Current law provides for remedy to the few victims who suffer immediate identity theft and catch the perpetrators. Little help is now available to those not yet tangibly victimized, whose exposed data has left them highly vulnerable to identity theft for years to come, long after the statute of limitations runs out for the initial breach. This paper examines legal issues involved in data breaches, including the damage done to breach victims and the liability of data custodians. Applicable state and federal laws are reviewed, along with representative court decisions in data breach cases. Finally, possible legal remedies for data breach victims are discussed.","","data custodian, identity theft, negligence, notification laws, personal information, security breach,data breach","",""
7,"","10.1145/1278201.1278202","Kobsa, Alfred","Privacy-Enhanced Personalization","Commun. ACM",50,8,"aug","24--33",2007,"New York, NY, USA","","https://doi.org/10.1145/1278201.1278202","","","","","","Association for Computing Machinery","","","","","","","Multi-pronged strategies are needed to reconcile the tension between personalization and privacy.","","","",""
7,"","10.1145/1290993.1291003","Neumann, Peter G.","Risks to the Public","SIGSOFT Softw. Eng. Notes",32,5,"sep","17--25",2007,"New York, NY, USA","","https://doi.org/10.1145/1290993.1291003","","","","","","Association for Computing Machinery","","","","","","","","","","",""
6,"9781595938220","10.1145/1328057.1328090","Yongxi, Chen","Crisis of Personal Data Protection during the Construction of E-Government: Reaction and Limits of Hong Kong Privacy Laws","",,,"","155--164",2007,"New York, NY, USA","","https://doi.org/10.1145/1328057.1328090","Proceedings of the 1st International Conference on Theory and Practice of Electronic Governance","","","ICEGOV '07","","Association for Computing Machinery","","","","","","","The government of Hong Kong has achieved remarkable staged results according to its comprehensive E-government blueprint. At the same time, it is its statutory responsibility to protect privacy and personal data. However, there has been a succession of incidents of unauthorized leakage onto the Internet of personal data held by the agencies of Hong Kong government since 2006. These incidents occurred during the implementation of E-government, and aroused the public's deep concern of their privacy rights impacted by the Internet and the security of their personal data held by government agencies. This paper studies two typical cases of personal data leakage, one arising during the internal outsourcing process, the other occurring in external online service to citizens. It analyzes how the existing privacy regime addresses privacy intrusion and whether the redress is sufficient, before exploring the defects of the remedy system as well as the ways of improving legal protection of personal data within E-government environment.","","Hong Kong, e-government, legal deficiency, privacy law,personal data protection","",""
6,"9781605585864","10.1145/1593254.1593290","Zeng, Su-Yu; Wu, Ling-Ling; Chen, Houn-Gee","Sharing Private Information Online: The Mediator Effect of Social Exchange","",,,"","231--239",2009,"New York, NY, USA","","https://doi.org/10.1145/1593254.1593290","Proceedings of the 11th International Conference on Electronic Commerce","","","ICEC '09","","Association for Computing Machinery","","","","","","","Advances in information technology facilitate extensive collection and analysis of personal information for the purpose of strategic use by websites or companies. However, the typical reluctance of web users in sharing personal information significantly reduces such opportunity enabled by information technology. Therefore, the purpose of this research is to construct and empirically assess a causal model that explains how web users intend to share their personal information online. In particular, this theoretical model proposes that social exchange attitude mediates the impacts of trust and privacy concern on the intention of sharing personal information. An sample as large as 1249 is collected to test the proposed model. The empirical data strongly supports the hypotheses and suggests that trust and concern for privacy directly and indirectly affects the intention to share personal information via the attitude of social exchange. The direct and indirect impacts of trust are both positive. On the other hand, the direct impact of concern for privacy is negative, whereas the indirect impact is positive.","","concern for privacy, sharing personal information, trust,social exchange","",""
6,"9781605583419","10.1145/1595676.1595680","Mannan, Mohammad; van Oorschot, P. C.","Localization of Credential Information to Address Increasingly Inevitable Data Breaches","",,,"","13--21",2008,"New York, NY, USA","","https://doi.org/10.1145/1595676.1595680","Proceedings of the 2008 New Security Paradigms Workshop","","","NSPW '08","","Association for Computing Machinery","","","","","","","Large-scale data breaches exposing sensitive personal information are becoming commonplace. For numerous reasons, conventional personal (identification) information leaks from databases that store online and/or on-site user transaction data. Collected ID numbers and supporting personal information enable malicious parties to commit large-scale identity fraud. Gates and Slonim (NSPW 2003) proposed the owner-controlled information paradigm to address privacy violations of personal information where users are expected to maintain all their information using a personal device. Rubin and Wright (FC 2001), Molloy et al. (FC 2007), and others explored the use of one-time numbers to address credit card fraud (mostly for online use). However, several other types of ID number are at least as sensitive as credit card numbers. Our fundamental assumption is that collected personal information will eventually be breached. To combat identity fraud under this new environmental attack paradigm, we introduce a more general approach involving localized or customized ID numbers for both card-present and card-not-present transactions. We also explore four variants of the general idea to spark more discussion and further research in this area.","","data breaches, identity fraud, one-time use numbers, privacy,localization","",""
